seed,n,time
4,650,0.192538
4,650,0.1181962
4,650,0.1546952
4,650,0.1726869
5,650,0.2450599
5,650,0.2273668
5,650,0.2400628
5,650,0.2281817
5,650,0.2392257
5,650,0.2074898
5,650,0.2419196
5,650,0.214604
5,650,0.2539983
5,650,0.2208055
6,650,0.619748
6,650,0.7268691
6,650,0.6233476
6,650,0.6291054
6,650,0.6113645
6,650,0.5745665
6,650,0.6082524
6,650,0.5405672
6,650,0.614564
6,650,0.5644887
7,650,0.2575255
7,650,0.2195881
7,650,0.212792
7,650,0.2160999
7,650,0.2115938
7,650,0.2793347
7,650,0.2107904
7,650,0.211695
7,650,0.2127365
7,650,0.2635986
8,650,0.1357615
8,650,0.1369638
8,650,0.1348531
8,650,0.1774627
8,650,0.1321854
8,650,0.1668452
8,650,0.1630163
8,650,0.1330845
8,650,0.1659594
8,650,0.1837811
9,650,0.1242215
9,650,0.1164447
9,650,0.1002287
9,650,0.1063275
9,650,0.1117881
9,650,0.1114526
9,650,8.35532e-2
9,650,8.32038e-2
9,650,8.11999e-2
9,650,9.64903e-2
10,650,0.2306074
10,650,0.2434437
10,650,0.169711
10,650,0.1706002
10,650,0.1688117
10,650,0.1668019
10,650,0.1701875
10,650,0.2215897
10,650,0.2190382
10,650,0.214554
11,650,8.60136e-2
11,650,8.40949e-2
11,650,8.42296e-2
11,650,8.40574e-2
11,650,8.43647e-2
11,650,8.62277e-2
11,650,0.1076974
11,650,8.7912e-2
11,650,0.1178808
11,650,0.1294637
12,650,0.1219571
12,650,0.1252434
12,650,0.1263639
12,650,0.1262554
12,650,0.1041972
12,650,0.1005253
12,650,0.1233767
12,650,0.1435531
12,650,0.1014723
12,650,0.100203
13,650,0.1264247
13,650,0.1271967
13,650,0.1526974
13,650,0.1294644
13,650,0.1338455
13,650,0.1672411
13,650,0.1632795
13,650,0.1284828
13,650,0.1855669
13,650,0.1529141
14,650,0.1265298
14,650,0.1099139
14,650,0.1585211
14,650,0.1296125
14,650,0.1259784
14,650,9.7444e-2
14,650,0.1404391
14,650,0.1257239
14,650,0.1194734
14,650,0.1237462
15,650,0.1161583
15,650,7.98215e-2
15,650,5.98287e-2
15,650,6.78394e-2
15,650,7.97486e-2
15,650,5.98551e-2
15,650,6.03935e-2
15,650,8.7827e-2
15,650,6.00802e-2
15,650,6.65826e-2
16,650,0.5969382
16,650,0.5435938
16,650,0.5183565
16,650,0.5391236
16,650,0.5134574
16,650,0.6113287
16,650,0.5477295
16,650,0.5690146
16,650,0.5656483
16,650,0.5445731
17,650,0.209379
17,650,0.2448706
17,650,0.2098826
17,650,0.2235471
17,650,0.2077736
17,650,0.1828414
17,650,0.1860062
17,650,0.2073891
17,650,0.1775685
17,650,0.178763
18,650,0.114328
18,650,0.1103733
18,650,8.3421e-2
18,650,8.11508e-2
18,650,7.9067e-2
18,650,7.93743e-2
18,650,0.1067301
18,650,8.00143e-2
18,650,0.1056395
18,650,0.1188743
19,650,0.1675382
19,650,0.1792196
19,650,0.1578103
19,650,0.233666
19,650,0.1634587
19,650,0.1968696
19,650,0.1838001
19,650,0.1867651
19,650,0.2012507
19,650,0.1922902
20,650,9.5898e-2
20,650,7.24835e-2
20,650,7.77046e-2
20,650,8.7001e-2
20,650,0.1021847
20,650,0.101685
20,650,7.63372e-2
20,650,8.17312e-2
20,650,0.104639
20,650,8.0499e-2
21,650,4.97284e-2
21,650,8.05216e-2
21,650,5.01056e-2
21,650,6.5529e-2
21,650,4.95041e-2
21,650,7.42559e-2
21,650,4.13861e-2
21,650,4.2091e-2
21,650,4.14276e-2
21,650,5.4822e-2
