seed,n,eph,per
3,13000,5.98109e-2,1.2514853
3,13000,4.82302e-2,1.3428098
3,13000,3.70499e-2,1.3144023
3,13000,3.39415e-2,1.2798518
3,13000,6.01279e-2,1.2500477
3,13000,6.30902e-2,1.1759795
3,13000,3.5054e-2,1.2509443
3,13000,3.34632e-2,1.1942137
4,13000,3.6815e-2,1.3723805
4,13000,3.38195e-2,1.5716418
4,13000,5.28687e-2,1.3171996
4,13000,4.08482e-2,1.4840578
4,13000,6.23365e-2,1.3267506
4,13000,4.01425e-2,1.3934171
4,13000,3.42432e-2,1.2863132
4,13000,3.45928e-2,1.3403943
4,13000,4.99249e-2,1.26785
4,13000,3.22595e-2,1.6124974
5,13000,6.91605e-2,1.4149419
5,13000,4.0682e-2,1.3325371
5,13000,4.26802e-2,1.2991124
5,13000,4.36319e-2,1.5405318
5,13000,3.49754e-2,1.3304103
5,13000,3.71763e-2,1.3122179
5,13000,3.51664e-2,1.34437
5,13000,6.63795e-2,1.5153765
5,13000,3.58764e-2,1.2479471
5,13000,3.67722e-2,1.2944073
6,13000,6.51556e-2,1.400915
6,13000,5.06347e-2,1.2733251
6,13000,5.49125e-2,1.2731431
6,13000,5.6006e-2,1.483845
6,13000,3.4182e-2,1.5063547
6,13000,3.697e-2,1.3831624
6,13000,3.39375e-2,1.3215209
6,13000,3.53644e-2,1.3195477
6,13000,3.58715e-2,1.2561591
6,13000,4.62913e-2,1.3160859
7,13000,7.92621e-2,1.446597
7,13000,5.9132e-2,1.4362626
7,13000,5.31503e-2,1.392957
7,13000,4.55869e-2,1.4744054
7,13000,6.65147e-2,1.416578
7,13000,3.28651e-2,1.4004497
7,13000,3.15289e-2,1.3519981
7,13000,4.7922e-2,1.4243435
7,13000,6.42968e-2,1.4929632
7,13000,3.42727e-2,1.309412
8,13000,3.92424e-2,1.5162594
8,13000,2.88413e-2,1.2752311
8,13000,4.8709e-2,1.2931173
8,13000,3.44839e-2,1.2067092
8,13000,5.58971e-2,1.3877816
8,13000,4.21303e-2,1.3464467
8,13000,3.32211e-2,1.3271022
8,13000,6.13309e-2,1.423211
8,13000,3.29774e-2,1.2521917
8,13000,3.43661e-2,1.2903351
9,13000,3.60141e-2,1.4270895
9,13000,3.6452e-2,1.3553877
9,13000,5.82395e-2,1.5095179
9,13000,3.95815e-2,1.5523883
9,13000,3.57241e-2,1.3889464
9,13000,6.6557e-2,1.460588
9,13000,3.66983e-2,1.3383653
9,13000,6.0138e-2,1.4487607
9,13000,3.4993e-2,1.3480972
9,13000,3.63769e-2,1.5456083
10,13000,3.75959e-2,1.3755001
10,13000,3.89535e-2,1.3778267
10,13000,4.85174e-2,1.5792593
10,13000,3.55022e-2,1.3373849
10,13000,4.57203e-2,1.3882241
10,13000,6.49905e-2,1.4648274
10,13000,5.40579e-2,1.2972479
10,13000,6.00336e-2,1.2637148
10,13000,5.044e-2,1.3874987
10,13000,3.18203e-2,1.3173194
11,13000,3.73244e-2,1.3769052
11,13000,6.98756e-2,1.518023
11,13000,3.25824e-2,1.2990491
11,13000,3.41584e-2,1.3139058
11,13000,5.39453e-2,1.2307286
11,13000,5.16978e-2,1.4558257
11,13000,4.44845e-2,1.2837109
11,13000,3.53623e-2,1.2902539
11,13000,6.46757e-2,1.3753141
11,13000,3.61388e-2,1.3929229
12,13000,4.4896e-2,1.4715384
12,13000,3.37623e-2,1.2944877
12,13000,3.34892e-2,1.4176417
12,13000,6.44352e-2,1.3464796
12,13000,5.77272e-2,1.3923302
12,13000,4.16173e-2,1.3358247
12,13000,4.60588e-2,1.3386675
12,13000,3.67195e-2,1.3245264
12,13000,6.19264e-2,1.3408222
12,13000,3.25168e-2,1.3276084
13,13000,5.37394e-2,1.1685784
13,13000,6.44937e-2,1.2733474
13,13000,6.43522e-2,1.3498719
13,13000,3.43531e-2,1.3027639
13,13000,3.64187e-2,1.1928247
13,13000,3.3313e-2,1.237483
13,13000,5.02225e-2,1.1874305
13,13000,6.33905e-2,1.4881499
13,13000,3.01014e-2,1.2643872
13,13000,3.32963e-2,1.2268588
14,13000,3.72214e-2,1.3190723
14,13000,3.47139e-2,1.5557451
14,13000,3.53805e-2,1.3055539
14,13000,5.43367e-2,1.5164996
14,13000,3.52318e-2,1.3051443
14,13000,5.33113e-2,1.5023966
14,13000,3.3248e-2,1.2495103
